formula,max_PV_efficiency
ScAsAlAs,8.110906445
IrSCl,9.024398371
MnSeCl,9.330625579
Bi8Ta2O16BrI,9.535144745
ScAsAlP,9.73991297
MnPS1.5Se1.5,9.73991297
Si2PAs,9.73991297
Bi8Ta2O16ClI,9.944891618
Sc2COS,10.15004207
Bi8Nb2O16BrI,10.3553257
MoSiN3H,10.3553257
BAsSe,10.3553257
IGa2Cl,10.43746781
ZnSnS2,10.56070394
Zr2N3H,10.56070394
Bi8Nb2O16ClI,11.1770205
Al2Ge2S3Se3,11.58766423
NiPS1.5Se1.5,11.58766423
In2Si2S3Se3,11.58766423
Mn2SeCl2,11.87480787
INiBr,12.05920959
I2Mn2Se,12.12063767
AgGaI2,12.18204445
Mn2CClBr,12.20250846
Al2SeTe,12.20250846
Mn2CFI,12.40700353
PAsC,12.61120799
 In2Ge2S3Se3,12.7539576
IVSeBr,12.7539576
BAsTe,13.01859126
In2SSe,13.01859126
Mn2GeAs,13.22169321
VBrO2H,13.58613118
BiSCl,13.80803861
HfCrCO2,14.0292737
Hf2N3F,14.0292737
SPtSiN2,14.0292737
IrSeBr,14.08948714
WSO,14.08948714
BiSF,14.12959903
AsSCl,14.2297701
Pd2Pt2P4Se2S2,14.2297701
ZrBr2O,14.32978212
I2Mn2S,14.84709542
BPTe,15.02501051
Pt4P4Se2Te2,15.02501051
Mn2GeSb,15.22194276
Pt4P4S2Te2,15.22194276
Ir2Cl3Br3,15.37889446
ISeAl,15.49624881
SnAsH,15.61328591
Si2OS,15.61328591
Cr2I3Br3,15.80762029
CoSeBr,16.1358054
SnAsCH3,16.19342356
WSSe,16.19342356
TeAsCl,16.25095001
Cr2I3Cl3,16.57515148
NaInSTe,16.57515148
IVClO,16.59412542
IVBrO,16.91496981
Pd2Pt2P4S2Se2,16.9524987
InAlSSe2,17.1394342
InAlSeS2,17.1394342
ZrOBrI,17.1394342
SMoGeN2,17.1394342
B2P6,17.32516012
SnTe,17.34366472
AsSBr,17.50963839
AsSeCl,17.69283091
SeMoGeN2,17.69283091
Sc2CF2,17.74753226
Y2COS,17.87469965
ZnSnSe2,18.2343136
SbSCl,18.2343136
AsBrS,18.28776706
FePS1.5Se1.5,18.4119828
Zn3CdC2,18.4119828
SbBrS,18.44734075
InMnBrS,18.53547538
SPdGeN2,18.58817617
PdPSeS,18.58817617
PtSeS,18.64074071
SrIOH,18.65823178
AsSI,18.76285574
Sc2CH2,18.78023898
WSeO,18.86692109
TeGe,19.03909969
BiSeCl,19.07334314
FeGeN3,19.10752179
BiSeF,19.2605157
Ga2SeTe,19.27743244
NbOClBr,19.27743244
BiBrS,19.27743244
IVBrS,19.27743244
Ti2COS,19.44567768
Si2OSe,19.44567768
SbSBr,19.44567768
Pd4P4S2Se2,19.44567768
Y2CF2,19.51250098
IAsS,19.77702051
MoSeS,19.79340338
GaAlSeS2,19.94004247
Mn2CClI,20.10124775
MoGeN3H,20.10124775
SbSeCl,20.26059858
NiClI,20.26059858
WSeS,20.40239759
GaAlSSe2,20.41805723
GeSnSeO,20.41805723
Sc2CCl2,20.46492022
ZnGeS2,20.573586
NbOBrI,20.573586
GeSnSO,20.573586
NbOClI,20.72714721
ZrNiSeS,20.86363891
Sc2CHF,20.8787032
AgBiP2S3Te3,20.8787032
AsSeBr,20.8787032
CdInAlS4,20.92377335
SbTeCl,21.08744118
Ir2Br3I3,21.13163991
SbSI,21.17564904
SnSbH,21.32096371
AgBiP2Se3Te3,21.32096371
AsSeI,21.32096371
I2VO,21.33537725
Al2STe,21.46412283
TeAsBr,21.47831874
Mn2CBrI,21.52661722
SWSiP2,21.52661722
TeICo,21.54502555
Ir2Cl3I3,21.56303157
Bi2SeS2,21.56338218
MoSO,21.59109203
SnSbCH3,21.60508888
SPtSiP2,21.60508888
MoSSnN2,21.70837751
IrTeI,21.73005226
ZnCd3C2,21.74382437
SbTeBr,21.75757379
Sc2CHCl,21.88029185
TeCoBr,21.88029185
Pd2Pt2P4Se2Te2,21.88029185
TeScCl,21.92078424
Te2As2Se,21.93697788
TeCrSe,21.95420407
BiTeI,21.97137918
ZrGeAs3H,22.05648961
In2Si2S3Te3,22.05648961
Y2CHCl,22.10697559
SbIS,22.2500166
Sc2CFCl,22.27571221
HfVCO2,22.27571221
SbSeBr,22.27571221
TiSO,22.31407421
TiSiAs3H,22.38423931
AlInSSe2,22.40273378
Sb2TeSe2,22.41590292
Ge2SeS,22.45285716
Pb2Br2S,22.46532635
Y2CCl2,22.49019051
SeAu4Te,22.50968767
ZnGeTe2,22.54054799
GaInSSe2,22.54054799
GaInSeS2,22.54054799
SAu4Te,22.6016681
ITiBr,22.64698364
NaGaSTe,22.64937534
SbSeI,22.64937534
Pd2Pt2P4Te2Se2 ,22.64937534
Y2CFOH,22.68550626
SbAs,22.70946658
BiSeBr,22.74521588
Sc2CBr2,22.81602254
SMoPSiN,22.83817545
TeWSiAs2,22.83817545
Zr2CO2,22.89745527
Sc2COHN,22.97955219
TiSiP3H,22.97955219
PAs,23.00027547
Cd2IBrS,23.0564753
ZrHfCO2,23.11201033
HfZrCO2,23.11201033
WSTe,23.11201033
Al2Ge2Se3Te3,23.11601009
HfGeP3H,23.11601009
SAu4Se,23.2086198
AlInSeS2,23.22106746
PdPSeTe,23.22106746
CdGaAlS4,23.30636032
IAsSe,23.37955143
PtTeSe,23.39904996
Hf2CO2,23.42076629
WTeS,23.42076629
Nb3TeCl7,23.43100048
Pd4P4Se2Te2,23.43100048
Pd2Pt2P4Te2S2,23.43100048
Y2CFCl,23.47217791
Sc2CFN,23.53180245
AsSb,23.53180245
AlGaSeS2,23.53180245
InGaSeS2,23.53180245
CrOFBr,23.53180245
CdInAlSe4,23.5902175
TeCrCl,23.5902175
InAlTeSe2,23.61325158
Al2Sn2S3Se3,23.72489285
HfSeS,23.77136493
Y2CClOH,23.80136649
TlCdInS4,23.80136649
ZnSnTe2,23.90638641
Sn2SeS,23.93601713
In2TeS,23.94604681
AuPdSeCl,23.967115
Sb2S2Se,23.97585572
Pd2Pt2P4S2Te2,23.99269251
Te2As2S,24.02460539
ScYCCl2,24.03421583
CrGeCN4,24.03421583
ZrGeP3H,24.03421583
Sb2SeSTe,24.06276874
Sc2CFBr,24.07598927
HfIBr,24.10019084
GaAlSeTe2,24.12777219
TeMoSiAs2,24.12777219
Mo2CFOH,24.13050749
BiTeBr,24.14592918
ICrSe,24.18747933
MoTeSe,24.20291327
GaGeSe,24.21671805
SMoAsSiP,24.21671805
SbISe,24.21822305
Ga2STe,24.23340835
Ge2PAs,24.23340835
BAsS,24.23340835
ZrIBr,24.25101262
MoTeS,24.27082513
BiTeF,24.29285381
SHfGeP2,24.30108543
Sc2COHCl,24.3074576
Bi2Te2S,24.3074576
Nb3TeBr7,24.3074576
Y2CHOH,24.32188996
ITiCl,24.35743566
Zn2SeTe,24.37835138
Pd4P4S2Te2,24.37835138
Pb2I2S,24.39899875
BiTeCl,24.44151196
TeMoGeN2,24.44605329
Ga2Ge2STe,24.45621388
SHfSiP2,24.45621388
PdTiS2,24.46573601
Bi2Se2S,24.51052698
WSSnN2,24.52703992
TeICr,24.52703992
BiISe,24.56739816
TeGe2S,24.56739816
TeCuGeBr,24.57173618
SPdGeAs2,24.59341746
InGaTe2,24.61832876
CrOFH,24.62964466
Pb2STe,24.62964466
Sn2TeSe,24.6553794
Sn2PAs,24.6553794
Pb2SeTe,24.6553794
SnSSe,24.68421627
PbI,24.71295881
SMoPGeN,24.71295881
ZrSeS,24.71534251
CrSeS,24.71847699
MoSeO,24.72544674
Y2COSe,24.7354149
InAlSeTe2,24.7354149
In2TeSSe,24.76618892
TeIAs,24.77392105
Bi2SSeTe,24.78320453
PbTe,24.78320453
WTeSe,24.81460965
Sc2COHH,24.82754919
MnCrNO2,24.82754919
SnBr2S2,24.82754919
AlInSTe2,24.85973485
HfTiCO2,24.86841299
MoSSiP2,24.87229433
Mo2COHO,24.87721126
SnSeS,24.88377583
BiIS,24.89124554
Zn2STe,24.90011783
TeWSiP2,24.90011783
SeMoPAlS,24.90576009
Cr2Cl3S3,24.90576009
CrSSiN2,24.90576009
AlInSeTe2,24.93628582
Bi2Te2Se,24.93955474
Sc2CClI,24.95279979
Ti2CO2,24.95279979
HfICl,24.95279979
TiBrCl,24.95911365
TeWPGaS,24.96827274
Si2SSe,24.96827274
HfFeCO2,24.96976126
AgBiP2Te3Se3,24.96976126
PbGeSeS,24.97705859
MoTeSiN2,24.98350784
SbTeI,24.99131909
TeWPAlS,24.99611262
CrSiCN4,24.99634404
AgBiP2Te3S3,24.99634404
SeMoPGaS,24.99634404
PdPSeO,24.99634404
ICrS,25.00122262
ZrICl,25.01315133
Zr4Se4S2Cl4,25.01315133
HfTiCO2,25.01926757
PSbC,25.01926757
Si2SeTe,25.01983962
RhISe,25.02934602
TeCrBr,25.03401971
SeWPAlS,25.03849638
Sn2TeS,25.03948802
BSbTe,25.03948802
Sb2S2Te,25.04293129
CdInGaS4,25.05509222
ZrSSe,25.05509222
TiSeS,25.05773079
PSb,25.06572851
SeWPGaS,25.06572851
Nb3TeI7,25.06572851
 In2Ge2Se3Te3,25.07168265
ZnGeSe2,25.07366136
GaGeTe,25.07366136
Ga2Ge2SeTe,25.07366136
Bi2Se2Te,25.07366136
Pb2SSe,25.07366136
TeMoSiP2,25.07366136
Sc2COHF,25.0743061
HfBrCl,25.07485075
Sc2CFI,25.0765822
TeMoPAlS,25.07775857
ZrTiCO2,25.07798512
TeMoPGaS,25.07798512
Si2STe,25.07798512
